stress	estrés
scream	grito
entrust	confiar
oppression	opresión
consummate	consumado
realistic	realista
imposing	colonial
torturing	tortura
lovable	amable
boycott	boicoteo
exciting	emocionante
figurehead	testaferro
bleakness	desolación
honesty	honestidad
braggart	fanfarrón
saint	santo
drab	monótono
hum	zumbido
sneak	furtivo
brotherly	fraternal
taut	tirante
healthful	sano
chastisement	castigo
calamitous	calamitoso
tentatively	tentativamente
devastating	devastador
dissidence	manzana
slug	babosa
floored	solado
trapped	atrapado
negative	negativo
phobic	fóbico
indignity	indignidad
despondency	abatimiento
frigid	frígido
brittle	quebradizo
indiscretion	indiscreción
sugar-coat	endulzar
foreboding	presentimiento
prudently	prudentemente
reluctant	reacio
patiently	pacientemente
ferocity	ferocidad
deluded	iluso
mangled	mutilado
superb	magnífico
scorching	abrasador
ripoff	estafa
dissocial	disociable
enticed	atraídos
serenity	serenidad
cackle	cacareo
lame-duck	saliente
caustically	cáusticamente
blissful	feliz
confusions	confusiones
annoy	molestar
insignificance	insignificancia
devious	tortuoso
frightfully	espantosamente
abysmally	abismalmente
wail	gemido
convience	conveniencia
messes	líos
disservice	deservicio
allergic	alérgico
redemption	redención
repress	reprimir
buggy	calesa
thankful	agradecido
underlings	subordinados
enchanting	encantador
squander	tiempo
impotent	impotente
blemish	mancha
expropriate	expropiar
uneasily	inquieto
shimmer	brillo
encouragingly	alentador
berate	regañarse
irritations	irritaciones
recomend	recomiendo
stinks	apesta
bust	busto
unity	unidad
exellent	excelente
runaway	fugitivo
unwillingness	renuencia
snappishly	brusquedad
ruining	arruinando
catastrophically	catastróficamente
limitation	limitación
indecently	indecentemente
uplift	inspirar
unintelligible	ininteligible
handily	cómodamente
ungrateful	ingrato
meticulous	meticuloso
merriment	alegría
erratically	erráticamente
self-respect	dignidad
slowed	ralentizado
betray	traicionar
concern	preocupación
unstable	inestable
conveniently	convenientemente
fruitless	infructuoso
arrogance	arrogancia
fiendish	diabólico
pitiful	lamentable
rectifying	rectificación
exhorbitant	exorbitante
terrific	estupendo
embroilment	embrollo
pitiless	despiadado
melodramatically	melodramáticamente
defective	defectuoso
bankrupt	quebrado
raked	rastrillado
triumphant	triunfal
diligence	diligencia
timid	tímido
mire	fango
blockhead	alcornoque
detracts	detrae
loser	perdedor
drippy	pegajosa
embarrassing	embarazoso
stylized	estilizado
accurately	exacto
inexpensive	barato
tumbled	caído
dashing	gallardo
impulsively	impulsivamente
infamously	infamemente
redeem	redimir
concise	conciso
welcome	bienvenida
pleases	plazca
defunct	difunto
blatantly	descaradamente
danke	gracias
barbarity	barbarie
condemnable	condenable
virulence	virulencia
exacerbate	exacerbar
miraculous	asombroso
dissolution	disolución
productively	productivamente
admiration	admiración
fabrication	fabricación
prejudge	prejuzgar
apologist	apologista
harmless	inofensivo
blurs	desenfoques
inhibit	inhibir
bafflement	desconcierto
nervously	nerviosamente
barbaric	bárbaro
defamation	difamación
destiny	destino
incendiary	incendiario
bemoan	lamentar
readily	fácilmente
authoritative	autorizado
razor-sharp	afilada
glib	elocuente
overtakes	adelanta
poor	pobre
confusion	confusión
doddering	chocho
intimacy	intimidad
altruistically	altruistamente
orphan	huérfano
surpass	superar
indecisively	indeciso
brand-new	flamante
tiresome	cansado
impressively	impresionantemente
grievances	quejas
fresh	fresco
anxieties	ansiedades
impoverish	empobrecer
untimely	inoportuno
disbelief	incredulidad
spewed	vomitado
loud	ruidoso
confrontation	confrontación
brazen	descarado
infallible	infalible
bashing	paliza
depressed	deprimido
dark	oscuro
cruelty	crueldad
fails	falla
recklessness	imprudencia
horrifies	horroriza
twisted	retorcido
repression	repressió
forgetfulness	olvido
smoldering	latente
polluter	contamina
improvement	mejora
panic	pánico
talents	talentos
disagreeable	desagradable
torturous	tortuoso
crush	aglomeración
mortify	mortificar
powerfully	poderosamente
beutifully	hermosamente
stump	muñón
adore	adorar
transparent	transparente
clog	zueco
destitute	indigente
hobble	cojera
unrestricted	irrestricto
electrify	electrizar
affable	afable
hallmark	contraste
greatest	mayor
idiocies	idioteces
sinking	hundimiento
laggy	lag
falsely	falsamente
auspicious	propicio
distinctive	distintivo
petty	mezquino
outrageous	indignante
insurrection	insurrección
swanky	ostentoso
contradict	contador
disconcerting	desconcertante
awe	temor
regard	respecto
fairly	bastante
profoundly	profundamente
busybody	entrometido
lapses	lapsos
comforting	consolador
spank	azotar
puppet	marioneta
undocumented	indocumentado
skill	habilidad
alarm	alarma
outdo	exceder
resistance	resistencia
zest	entusiasmo
disruptive	disruptivo
pertinacity	pertinacia
glowingly	elogiosamente
vain	vano
startlingly	sorprendentemente
pleasurable	placentero
profusion	profusión
corrosion	corrosión
acumen	perspicacia
intermittent	intermitente
tricky	difícil
sharp	afilado
glum	sombrío
moron	idiota
hampered	obstaculizado
satisfactorily	satisfactoriamente
losers	perdedores
felicitate	felicitar
providence	providencia
recommendation	recomendación
goon	matón
despotic	despótico
volatile	volátil
steadfastly	firmemente
contribution	contribución
poorly	mal
phenomenally	fenomenalmente
clogged	obstruido
disquietude	desasosiego
condescend	condescender
crowdedness	hacinamiento
torrent	torrente
whips	látigos
detracted	detraído
lavishly	profusamente
rightness	justicia
abnormal	anormal
impossible	imposible
craftly	artesanalmente
ethical	ético
dreadful	terrible
congratulatory	congratulatorio
arduous	arduo
despair	desesperación
thoughtfulness	consideración
emptiness	vacío
damnable	detestable
courageousness	valentía
unjustly	injustamente
catastrophies	catástrofes
prodigy	prodigio
robust	robusto
shamefully	vergonzosamente
sweet	dulce
idiotic	idiota
growl	gruñido
panoramic	panorámico
tainted	contaminado
despise	despreciar
acerbic	acerbo
smitten	prendado
slanders	calumnias
award	premio
smoke	humo
overstatements	exageraciones
errors	errores
loose	suelto
persecute	perseguir
incorrectly	incorrectamente
burn	quemar
disadvantaged	perjudicado
absent-minded	distraído
languorous	lánguido
weakness	debilidad
defiant	desafiante
stutters	tartamudea
plight	situación
stranger	desconocido
cry	grito
menacing	amenazador
calming	calmante
declines	descensos
overrated	sobrevalorado
afflictive	doloroso
taunts	burlas
erosion	erosión
slanderous	calumnioso
richly	ricamente
prejudice	prejuicio
indebted	endeudado
complained	quejado
demonic	demoníaco
dextrous	diestro
displaced	desplazado
vomits	vómitos
infuriated	enfurecido
breakup	ruptura
challenging	desafiante
accuses	acusa
impermissible	inadmisible
ecstatic	extático
scathingly	mordazmente
gratitude	agradecimiento
seriousness	seriedad
bungle	chapucear
ranted	despotricó
embarrass	avergonzar
crafty	astuto
unprepared	desprevenido
contortions	contorsiones
madden	enloquecer
skittish	asustadizo
gem	joya
dehumanize	deshumanizar
sufficient	suficiente
holy	santo
abuse	abuso
finicky	melindroso
licentious	licencioso
craven	cobarde
recoil	retroceso
penalize	penalizar
vexingly	irritantemente
feeble	débil
back-woods	back-maderas
correctly	correctamente
corrosions	corrosiones
impeccably	impecablemente
superstitious	supersticioso
fractious	díscolo
stringent	riguroso
obstruction	obstrucción
cohesive	cohesivo
regally	regiamente
partisans	partidarios
insinuation	insinuación
stab	puñalada
snazzy	elegante
bliss	felicidad
infuriating	exasperante
poetic	poético
fortunate	afortunado
concede	conceder
consistently	consecuentemente
pertinaciously	pertinazmente
wretched	miserable
alluring	seductor
shaky	tambaleante
blatant	descarado
faze	perturbar
nimble	ágil
lose	perder
dependable	confiable
overturn	volcar
betraying	traicionero
exalt	exaltar
sabotage	sabotaje
reliably	fiable
bloom	floración
implicate	implicar
danger	peligro
disquieting	inquietante
discordance	discordancia
audacious	audaz
flawless	perfecto
haste	prisa
scratched	rayado
loathe	detestar
smudge	mancha
uncivilized	incivilizado
expeditiously	expedita
tranquil	tranquilo
brisk	enérgico
calmness	calma
stupidity	estupidez
hypocricy	hipocresía
lag	retraso
integrated	integrado
gross	bruto
hegemonistic	hegemonística
enviably	envidiablemente
troubled	turbulento
crazily	locamente
fool	engañar
impartial	imparcial
revival	renacimiento
stupor	estupor
misleadingly	engañosamente
recommendations	recomendaciones
gruesomely	horriblemente
petrified	petrificado
pure	puro
inappropriately	inapropiadamente
apocalyptic	apocalíptica
monstrosities	monstruosidades
beneficially	beneficiosamente
leading	líder
intrigue	intriga
disgraceful	vergonzoso
scandalize	escandalizar
protest	protesta
distrustful	desconfiado
ricer	arrocera
grind	moler
overloaded	sobrecargado
glaringly	deslumbrante
cherub	querubín
crazy	loco
counterproductive	contraproducente
revile	injuriar
frost	helada
stale	viciado
sick	enfermo
inescapable	inevitable
pretentious	pretencioso
ridicule	ridículo
stain	mancha
lie	mentira
burning	ardiente
astonished	sorprendido
contempt	desprecio
appreciated	apreciado
contemptible	despreciable
mope	melancólico
tyrannically	tiránicamente
boiling	ebullición
pique	piqué
archaic	arcaico
hamper	estorbar
pluses	ventajas
unhealthy	insalubre
satisfying	satisfactorio
unsuccessful	infructuoso
disrupt	interrumpir
pigs	cerdos
invader	invasor
gaudy	llamativo
inconsiderate	desconsiderado
irritate	irritación
lukewarm	tibio
glistening	brillante
stammer	balbuceo
fickle	voluble
invigorate	vigorizar
imperiously	imperiosamente
playful	juguetón
suffices	suficiente
picketed	piquetes
baffling	desconcertante
handicapped	discapacitados
pollute	contaminar
faults	fallas
revoke	revocar
simplified	simplificado
monotonous	monótono
excelled	sobresalido
rectification	rectificación
agreeable	agradable
inaction	inacción
busts	bustos
hooray	hurra
reprehensibly	censurablemente
onslaught	embate
shrouded	envuelto
rebellious	rebelde
temptation	tentación
insufferable	insufrible
irritated	irritado
overbearing	imperioso
sink	fregadero
lonely	solitario
demonize	demonizar
amputate	amputar
oversimplification	sobresimplificación
alarmingly	alarmantemente
tenuous	tenue
scorn	desdén
indistinguishable	indistinguible
interruptions	interrupciones
undercuts	socavados
partisan	partidario
bitterness	amargura
reluctance	renuencia
prestige	prestigio
indeterminate	indeterminado
absentee	ausente
toxic	tóxico
daze	aturdimiento
hysteric	histérico
steals	robos
blockage	obstrucción
confident	confiado
sincere	sincero
ruins	ruinas
admonish	amonestar
discouragement	desaliento
adaptive	adaptado
drawbacks	inconvenientes
unnerve	enervar
smooth	liso
missed	perdido
generously	generosamente
disasterous	desastroso
elate	regocijado
irrational	irracional
sorrowful	triste
inconsequential	inconsecuente
problem	problema
smilingly	sonriendo
watered-down	aguada
prickle	espina
bullies	matones
nemesis	justicia
disinterested	desinteresado
emphatically	enfáticamente
downsides	desventajas
optimal	óptima
criticizing	criticar
harass	acosar
antagonize	contrariar
jubilation	jubilación
stable	estable
belligerent	beligerante
successful	exitoso
stumbled	tropezado
dying	moribundo
ironical	irónico
proves	prueba
capriciously	caprichosamente
dirts	suciedades
reprehensive	reprensibles
seasoned	sazonado
obliterate	obliterar
inexperience	inexperiencia
bowdlerize	expurgar
eloquence	elocuencia
pretty	bastante
stagnation	estancamiento
straighten	directamente
bunk	litera
explode	explotar
ludicrously	ridículamente
setback	revés
extortion	extorsión
fun	diversión
direly	imperiosamente
traitor	traidor
provoke	provocar
hothouse	invernáculo
drastically	drásticamente
painfully	penosamente
heathen	pagano
taint	mancha
gritty	arenoso
contaminated	contaminado
crept	deslizado
evade	evadir
jollify	alegrar
injure	lesionar
panicking	pánico
champion	campeón
gracious	gracioso
stereotype	estereotipo
quash	anular
self-defeating	contraproducente
dogged	obstinado
sensations	sensaciones
happily	felizmente
discompose	descomponer
authoritarian	autoritario
insubstantially	insustancial
misbegotten	bastardo
indifferent	indifférent
clearly	claramente
decent	bueno
inconsolably	inconsolablemente
villains	villanos
crumpled	arrugado
scathing	mordaz
noisy	ruidoso
shrivel	encoger
unhappiness	infelicidad
shirker	gandul
conspiracy	conspiración
reasonably	razonablemente
venerate	venerar
nettle	ortiga
amicable	amistoso
hissed	siseado
restrict	restringir
delude	engañarse
opinionated	dogmático
unachievable	inalcanzable
implode	implosionar
avid	ávido
navigable	navegable
paramount	importantísimo
depressions	depresiones
impure	impuro
overheat	sobrecalentar
viciously	viciosamente
perverse	perverso
itching	prurito
frustrate	frustrar
tingle	hormigueo
ingratitude	ingratitud
leads	plomos
adversarial	contradictorio
affordably	asequible
choppy	picado
cannibal	caníbal
eye-catch	ojo-captura
incompatability	incompatibilidad
jaded	hastiado
bulky	voluminoso
immorally	inmoralmente
overstates	exagera
venomous	venenoso
unbearable	inaguantable
clumsy	torpe
mislead	engañar
sleek	pulcro
explosive	explosivo
uncaring	indiferente
unlawfully	ilegalmente
helped	ayudado
promising	propicio
havoc	estragos
loss	pérdida
endorsed	endosado
faultless	impecable
infallibility	infalibilidad
outdone	aventajado
hale	sano
stunted	enano
unavoidably	inevitablemente
contemptuously	desdeñosamente
brilliant	brillante
bravado	bravata
interrupt	interrumpir
eagerly	ansiosamente
beneficiary	beneficiario
repugnant	repugnante
truthfulness	veracidad
scare	susto
lascivious	lascivo
approval	aprobación
finer	finlandés
scornful	desdeñoso
profound	profundo
notably	notablemente
ambush	emboscada
remarkable	notable
parody	parodia
mourn	llorar
tiring	fatigoso
debatable	discutible
fumes	humo
jeopardy	peligro
unreal	irreal
upbeat	optimista
enhancement	realce
reconciliation	reconciliación
amazement	asombro
diametrically	diametralmente
wayward	rebelde
rejuvenate	rejuvenecer
accuse	acusar
prowess	proeza
miscellaneous	diverso
illogical	ilógico
disillusioned	desilusionado
travesty	parodia
diabolically	diabólicamente
fascist	fascista
lucidly	lúcidamente
drawback	inconveniente
paralize	paralizar
annoyances	molestias
indiscreet	indiscreto
defiantly	desafiante
nastily	groseramente
impetuously	impetuosamente
hypocrite	hipócrita
crash	choque
recessionary	recesivo
bleakly	desoladamente
ominously	ominosamente
rogue	pícaro
unfaithfully	infielmente
gentle	suave
concerns	preocupaciones
shit	mierda
facilitate	facilitar
peaceful	pacífico
trivialize	trivializar
nourishment	alimento
cramping	calambres
stereotypically	típico
barbarically	bárbaramente
brutality	brutalidad
doubtful	dudoso
inflict	infligir
immoderately	inmoderadamente
sexy	atractivo
distasteful	desagradable
breach	incumplimiento
blabber	chismoso
poise	porte
mawkish	empalagoso
best	mejor
sarcastic	sarcástico
envy	envidia
uncollectible	incobrables
chivalrous	caballeroso
hasty	apresurado
break	pausa
obscurity	oscuridad
saver	ahorrador
satisfy	satisfacer
crooks	ladrones
exultant	jubiloso
plebeian	plebeyo
hoodwink	engañar
faithful	fiel
wedge	cuña
insurmountable	insuperable
enthuse	entusiasmar
neatly	pulcramente
sloth	pereza
eruptions	erupciones
unequivocally	inequívocamente
messing	ensuciando
regret	lamentar
scramble	lucha
ragged	harapiento
proud	orgulloso
retreated	retirado
luminous	luminoso
unsound	defectuoso
acrimony	acritud
barbarian	bárbaro
jeers	burlas
ferociously	ferozmente
undisputably	indiscutiblemente
obscure	oscuro
sad	triste
tanks	tanques
whine	silbido
viewable	visible
loathsome	repugnante
predatory	depredador
incorrect	incorrecto
besiege	sitiar
plusses	pros
oddity	rareza
fibber	mentiroso
pricey	caro
devoid	vacío
massacres	masacres
insolently	insolentemente
congestion	congestión
advantage	ventaja
clunky	torpe
aggrieved	agraviado
lawlessness	desorden
primitive	primitivo
likable	agradable
effectiveness	efectividad
pretence	pretensión
tentative	tentativo
procrastination	dilación
berserk	enloquecido
perseverance	perseverancia
captivate	cautivar
sucker	ventosa
comfy	confortable
dislike	aversión
outsider	forastero
accolades	reconocimientos
vengeance	venganza
cancer	cáncer
hideous	horrible
patience	paciencia
heal	sanar
extinguish	destruir
fume	humo
incomprehensible	incomprensible
ashamed	avergonzado
defects	defectos
distort	distorsionar
problematic	problemas
fans	ventiladores
officious	oficioso
irksomeness	fastidio
congratulations	felicitaciones
grace	gracia
cumbersome	incómodo
heck	infierno
beggarly	miserable
dispute	disputa
graciously	graciosamente
absurdly	absurdamente
articulate	articular
frozen	congelado
shriek	chillido
dungeons	mazmorras
fatuity	fatuidad
amusingly	graciosamente
contaminating	contaminar
ill-natured	malévolo
dragging	arrastrando
keenness	agudeza
degenerate	degenerado
drags	arrastra
foolhardy	temerario
spookier	fantasmagóricos
dishonor	deshonor
charitable	caritativo
shamelessly	desvergonzadamente
subjugate	subyugar
nicest	mejor
somber	sombrío
resilient	resistente
restored	restaurada
offensiveness	ofensivo
dissatisfy	descontentar
rightful	legítimo
guarantee	garantía
subpoenas	citaciones
fall	caer
intimate	íntimo
overbalanced	sobrenivelado
gaily	alegremente
crisper	rizador
beautify	embellecer
diatribe	diatriba
equivocal	equívoco
acclaim	aclamación
licentiousness	libertinaje
glitz	brillo
scandal	escándalo
sketchy	incompleto
fortuitously	fortuitamente
lawful	legal
devil	diablo
refusal	negativa
fatuously	fatuamente
villainously	vilmente
contort	retorcer
enflame	inflamar
tangles	ovillos
dope	droga
dazzle	deslumbrar
kindness	bondad
heretical	herético
arrogantly	arrogantemente
outburst	explosión
fanaticism	fanatismo
feign	fingir
hateful	odioso
creeps	grima
catastrophic	catastrófico
cooperative	cooperativa
entangle	enredar
obese	obeso
piety	piedad
rapt	absorto
infested	infestada
offensively	ofensivamente
quitter	cobarde
burden	carga
sagacity	sagacidad
damaged	estropeado
unwarranted	injustificado
break-up	ruptura
fascism	fascismo
banish	desterrar
titillating	excitante
fried	frito
eviscerate	destripar
felon	delincuente
insignificantly	insignificantemente
drunken	borracho
imbecile	imbécil
mists	nieblas
helpful	útil
dearth	escasez
deft	hábil
obsessively	obsesivamente
touts	revendedores
fault	culpa
precipitous	escarpado
disappoint	decepcionar
strikingly	sorprendentemente
unproductive	improductivo
demeaning	degradante
scummy	espumoso
striving	esfuerzos
evildoer	malhechor
succes	éxito
blackmail	chantaje
appreciate	apreciar
slaughter	masacre
haughtily	altivamente
rusty	oxidado
devilishly	diabólicamente
impending	inminente
instigate	instigar
wane	menguar
neurotic	neurótico
reproach	reproche
powerless	impotente
shipwreck	naufragio
warmly	calurosamente
uglier	feo
properly	correctamente
diligently	diligentemente
over-hyped	exageradas
indolent	indolente
apprehension	aprensión
wrangle	reñir
infraction	infracción
dilapidated	arruinado
enliven	animar
defy	desafiar
catchy	pegadizo
outrage	atropello
naively	ingenuamente
ingeniously	ingeniosamente
murderous	asesino
truant	ausente
cheerless	triste
virtue	bushido
competitive	competitivo
conscientious	concienzudo
smudged	manchado
exhilaration	regocijo
frustratingly	frustrante
fruitful	fructífero
unlimited	ilimitado
delinquency	delincuencia
rough	áspero
decadence	decadencia
bored	perforado
overwhelming	aplastante
rapport	compenetración
sprightly	animado
fulfillment	cumplimiento
famed	famoso
embroil	embrollar
vehement	vehemente
condescending	condescendiente
magic	magia
squabbling	disputas
survivor	sobreviviente
uneasy	inquieto
ominous	siniestro
accommodative	acomodaticia
morbid	mórbido
cancerous	canceroso
grandeur	grandeza
sucks	chupa
prohibit	prohibir
irresponsible	impulsivo
zippy	enérgico
ecstasy	éxtasis
laid-off	despedidos
heroine	heroína
escapade	escapada
positives	positivos
odd	impar
inequitably	inequitativamente
knave	sota
swindle	estafa
praising	alabando
quibble	sutileza
haters	enemigos
erroneously	erróneamente
chastise	castigar
egocentric	egocéntrico
skinny	flaco
attack	ataque
wrestle	luchar
elation	elación
squirm	retorcerse
distressed	angustiado
assault	asalto
snappish	brusco
jaw-droping	asombroso
chatterbox	charlatán
hysterically	histéricamente
worth	valor
inconsequently	inconsecuentemente
wheedle	engatusar
irresolvable	irresoluble
distinguished	distinguido
thrill	emoción
absurd	absurdo
paucity	escasez
intrude	entrometerse
crumbling	desmoronamiento
radicalization	radicalización
dubious	dudoso
improperly	indebidamente
martyrdom	martirio
misgiving	recelo
mocking	burlón
graceful	agraciado
harden	duro
lull	calma
tattered	andrajoso
adulation	adulación
heavenly	celestial
outshine	eclipsar
diversified	diversificado
egotism	egotismo
geezer	vejestorio
impoverished	empobrecido
hefty	fuerte
sedentary	sedentario
miss	señorita
sufficed	bastado
spooky	fantasmal
good	bueno
capable	capaz
smelling	oliendo
assurances	garantías
critic	crítico
disaster	desastre
woebegone	desconsolado
hilarious	hilarante
prattle	parloteo
imprecise	impreciso
divine	divino
washed-out	desteñido
excites	excita
precise	preciso
dehumanization	deshumanización
immaculately	inmaculadamente
mournfully	tristemente
tragic	trágico
incitement	incitación
jam	mermelada
tantrum	berrinche
verifiable	verificable
anarchism	anarquismo
ail	afligir
indoctrinate	adoctrinar
outperforms	supera
subversively	subversivamente
disabled	discapacitado
guiltily	culpablemente
domineering	dominador
hooligan	gamberro
hassles	molestias
livid	lívido
diatribes	diatribas
dissappointing	decepcionante
laughingstock	hazmerreír
strenuous	agotador
anomalous	anómalo
despot	déspota
lame	cojo
unsettle	trastornar
suffer	sufrir
famine	hambre
loathing	aborrecimiento
reputable	acreditado
excruciating	agudísimo
eulogize	elogiar
enthralled	cautivados
goodness	bondad
imprison	aprisionar
simplistically	simplista
adventurous	aventurero
disconcerted	desconcertado
exorbitant	exorbitante
back-wood	back-madera
reformed	reformado
appreciable	apreciable
deceiver	engañador
time-honored	tradicional
bitch	perra
bewilder	confundir
stolen	robado
gloom	penumbra
contrasty	contrastada
disquiet	desasosiego
restructured	reestructurado
cunts	coños
recommended	recomendado
anti-semites	antisemitas
pep	brillo
stupendously	estupendamente
languid	lánguido
paralyzed	paralizado
demon	demonio
indecorum	indecoro
disparagingly	despectivamente
haze	neblina
adulate	adular
dissonant	disonante
protested	protestado
disapproving	desaprobación
self-interested	egoísta
staunchly	incondicionalmente
ill-fated	malogrado
declaim	declamar
egomania	egomanía
deny	negar
viper	víbora
smudges	manchas
snag	pega
morbidly	mórbida
righten	derecho
enthral	cautivar
rupture	ruptura
dispiritedly	desánimo
appreciates	aprecia
infringe	infringir
enterprising	emprendedor
gladness	alegría
false	falso
failures	fracasos
bleeding	sangrado
merit	mérito
implausibly	inverosímilmente
persecution	persecución
spew	arrojar
winner	ganador
displeasing	desagradable
nourish	nutrir
admonisher	amonestador
striking	llamativo
thriving	próspera
overtake	adelantar
errant	errante
grief	dolor
polarisation	polarización
cheating	trampa
reaffirmation	reafirmación
secretive	reservado
sustainable	sostenible
sanctimonious	mojigato
frightening	aterrador
lethargic	letárgico
awards	premios
felicity	dicha
indecisive	indeciso
vexing	irritante
rude	grosero
dauntingly	intimidantemente
bothered	molestado
dupe	incauto
injustices	injusticia
provocative	provocativo
wallow	revolcarse
futilely	inútilmente
despondently	desaliento
sinister	siniestro
stubborn	obstinado
wreaked	causado
adverse	adverso
desiring	desear
dishonorable	deshonroso
dynamic	dinámico
madman	loco
joyous	jubiloso
insane	demente
disinclination	aversión
thinner	disolvente
embroiled	embrollado
stigma	estigma
marvelous	maravilloso
momentous	trascendental
kindly	amablemente
upheaval	convulsión
rife	abundante
responsibly	responsable
boggle	sobresaltarse
ruinous	ruinoso
deficient	deficiente
enchant	encantar
rejoicing	alegría
harmoniously	armoniosamente
sensitive	sensible
vehemently	vehementemente
expensive	caro
inaptitude	ineptitud
pointlessly	inútilmente
flairs	ensanchamientos
affordable	asequible
nonexistent	inexistente
blow	golpe
gutsy	valiente
confrontational	confrontación
advocated	propugnado
lucrative	lucrativo
affluent	afluente
novelty	novedad
tramp	vagabundo
deceptive	engañoso
dreary	triste
improve	mejorar
relapse	recaída
mendacious	mendaz
bruises	contusiones
gainsay	contradecir
skeletons	esqueletos
ennoble	ennoblecer
afford	permitirse
remorsefully	remordimiento
inaccurate	inexacto
overblown	marchito
awful	horrible
recover	recuperar
tanked	tanqueado
tormented	atormentado
freakish	anormal
disclaim	renunciar
hegemonism	hegemonismo
ineffectually	ineficazmente
unfairly	injustamente
persevere	perseverar
outcry	grito
struggles	luchas
upgradable	actualizable
self-serving	auto-servicio
meltdown	crisis
broken	roto
overplay	exagerar
savings	ahorros
stormy	tempestuoso
mystery	misterio
wary	cauteloso
nicely	bien
throbbing	palpitante
honored	honrado
worry	preocuparse
sufferer	víctima
limitations	limitaciones
disprove	refutar
obscene	obsceno
punitive	punitivo
shirk	eludir
boost	impulsar
sarcasm	sarcasmo
unfazed	imperturbable
leakage	fuga
virtuous	virtuoso
insufficiency	insuficiencia
bullying	intimidación
phony	falso
spendy	caro
mightily	poderosamente
affectation	afectación
drained	agotado
legendary	legendario
dislikes	disgustos
mist	niebla
ignoble	innoble
picket	piquete
undermines	socava
screech	chillido
burdensome	gravoso
bomb	bomba
unwieldy	pesado
infidel	infiel
impair	perjudicar
disoriented	desorientado
unsupportive	insolidario
nauseates	náuseas
incite	incitar
nasty	repugnante
savage	salvaje
disinterest	desinterés
indefensible	indefendible
hesitant	vacilante
pokey	diminuto
egregiously	notoriamente
crumple	arrugarse
continuity	continuidad
hostage	rehén
invasive	invasor
gimmicky	efectista
jaundiced	ictérico
despoil	despojar
flexibility	flexibilidad
paradise	paraíso
corrupts	corrompe
belabor	apalear
clean	limpio
scars	cicatrices
sinisterly	siniestramente
crude	crudo
assassinate	asesinar
notoriously	notoriamente
advocate	defensor
freaking	maldita
slanderer	calumniador
mad	loco
wonderful	maravilloso
lapse	lapso
spilling	derramando
hysterics	histerismo
sorrowfully	tristemente
amazing	asombroso
injurious	perjudicial
straggler	rezagado
freedom	libertad
recant	retractar
indigent	indigente
hack	corte
prickles	espinas
counter-attack	contraataque
blindingly	cegador
condescendingly	condescendientemente
inability	incapacidad
inept	inepto
delusion	ilusión
graft	injerto
cataclysm	cataclismo
righteous	justo
prolific	prolífico
debasement	humillación
trick	truco
debt	deuda
deviousness	desviación
ploy	táctica
jerk	tirón
prison	prisión
indulge	complacer
unjustifiably	injustificadamente
stagnant	estancado
touted	promocionado
demonizing	demonización
contradictory	contradictorio
ridiculously	ridículamente
mesmerizes	hipnotiza
solicitude	solicitud
disappointing	decepcionante
hazardous	peligroso
eyecatching	llamativo
autonomous	autónomo
refinement	refinamiento
prevaricate	prevaricar
rejected	rechazado
flaky	escamoso
preferable	preferible
criticisms	críticas
gems	gemas
poverty	pobreza
prompt	rápido
intriguingly	curiosamente
damnation	condenación
sacrificed	sacrificado
colorful	colorido
rapid	rápido
disappointingly	decepcionantemente
exultation	exultación
bemused	confundido
adversity	adversidad
topple	derribar
comprehensive	exhaustivo
wrinkles	arrugas
outperform	superan
fervently	fervorosamente
economical	económico
brainless	estúpido
maliciously	maliciosamente
quarrelsome	pendenciero
radiance	resplandor
refunded	reintegrado
monumentally	monumentalmente
matchless	incomparable
fluent	fluido
downturns	recesiones
wild	salvaje
incomplete	incompleto
delicious	delicioso
chaff	paja
stately	majestuoso
stagnate	estancarse
excitingly	emocionante
glowing	brillante
affably	afablemente
shiny	brillante
disgustedly	disgusto
apprehensions	aprehensiones
victory	victoria
dwindling	menguante
anti-american	antiamericano
entanglement	enredo
retractable	retráctil
timidly	timidez
undue	indebido
contaminates	contaminantes
fuzzy	borroso
overreach	extralimitarse
virulently	virulentamente
ruined	arruinado
admirer	admirador
perfectly	perfectamente
resentful	resentido
affability	afabilidad
scowl	ceño
lanky	larguirucho
grand	magnífico
ultimatums	ultimátums
heroic	heroico
brusque	brusco
oppositions	oposiciones
taunting	burlas
partiality	parcialidad
neglect	neglecta
accost	abordar
strike	huelga
refine	refinar
grapple	luchar
ingenious	ingenioso
barbarously	bárbaramente
exclusion	exclusión
grim	severo
bait	cebo
superstition	superstición
enhance	mejorar
condescension	condescendencia
luck	suerte
upsets	trastornos
equitable	equitativo
ovation	ovación
inconsistencies	inconsistencias
hallmarks	características
affluence	opulencia
laudable	loable
enemies	enemigos
extremist	extremista
over-acted	sobre-actuado
invaluable	inestimable
reasoned	razonada
warm	caliente
delightfully	deliciosamente
tired	cansado
insouciance	despreocupación
profuse	liberal
hardened	curtido
enemy	enemigo
chatter	charla
attune	adaptar
weariness	cansancio
warned	prevenido
incompetence	incompetencia
trample	pisotear
reachable	alcanzable
racist	racista
threats	amenazas
convenient	conveniente
breakdown	desglose
squeals	chillidos
intransigent	intransigente
injury	lesión
abrupt	abrupto
buoyant	boyante
brutalising	embrutecedor
extravagant	extravagante
torturously	tortuosamente
steeply	abruptamente
complimentary	cortesía
numb	entumecido
commotion	conmoción
